ID;Set;Human Monitoring Requirement
G.D9.3.2.3.1.1;1999 - tcs.txt;"The TCS shall have the functionality to process payload product data from Electro Optical (EO), Infrared (IR), and Synthetic Aperture Radar (SAR) payloads. This functionality, as a minimum, shall include:  formatting, storing, internally routing, and recording the video; creating and storing a freeze frame of the video; retrieving and displaying the video; printing a hard copy of freeze frame video; and processing digital imagery for export and dissemination. Payload data includes the digital and analog imagery and associated telemetry sent to the TCS from each of these payloads."
G.D9.3.2.3.1.2;1999 - tcs.txt;The TCS shall be able to store up to 24 hours of payload data. External storage can be utilized for this purpose.
G.D9.3.2.3.2.1;1999 - tcs.txt;The TCS shall display live and recorded imagery data, with as well as without annotation and overlay, upon operator request. Annotation includes operator generated comments as well as graphics which are superimposed on the imagery. Overlays consist of information obtained from external sources that is selected by the operator for presentation with the imagery.
G.D9.3.2.3.2.5;1999 - tcs.txt;RS170A video and digital imagery shall be routed to TCS functions and displayed upon operator request.
G.D9.3.2.3.3.2;1999 - tcs.txt;The TCS shall provide the capability to capture frozen-frames of imagery and store these frozen images for further review and processing.
G.D9.3.2.3.3.3;1999 - tcs.txt;The TCS shall have the capability to display Near-Real Time (NRT) imagery  to include, as a minimum, date/time group, target location coordinates when the target is in the center of the field of view, north seeking arrow, and AV position and heading.
G.D9.3.2.4.0.2;1999 - tcs.txt;The TCS shall support a target location function where the operator can request the current ground location of the payload field-of-view center.
G.D9.3.2.4.1.1;1999 - tcs.txt;The TCS shall have the functionality to determine the location of items of interest within the payload field of view, and express these locations in coordinates acceptable for military applications.
G.D9.3.10.1.0.1;1999 - tcs.txt;"The TCS hardware will provide the functionality and capability to receive, process, and disseminate video and telemetry data from the AV and payload; perform mission planning; monitor and control the payload; monitor and control the AV;  and monitor and control the data links."
G.D9.3.10.3.0.1;1999 - tcs.txt;"The TCS software will provide the functionality and capability to receive, process, and disseminate video and telemetry data from the AV and payload; perform mission planning; monitor and control the payload; monitor and control the AV; and monitor and control the data links."
G.D9.3.13.1.9;1999 - tcs.txt;A combination of visual and auditory outputs will be provided to alert the TCS operator to situations which may require operator response.
G.D9.3.13.1.12;1999 - tcs.txt;All TCS warning messages and HCI actions shall be archived for later review.
G.D9.3.13.1.13;1999 - tcs.txt;All TCS operator inputs shall be error checked such that any erroneous operator entry will not cause current processing to terminate. The HCI shall prompt the operator for a valid input.
G.D9.3.13.1.15;1999 - tcs.txt;The operational tasks to be performed concurrently by the operator during normal operation will be determined by appropriate task analysis and function allocation.
G.D9.3.13.1.29;1999 - tcs.txt;The TCS shall provide the necessary processing, display, and control capabilities to ensure dynamic situational awareness input to the TCS operator.
G.D9.3.14.9;1999 - tcs.txt;Training shall be adequate to maintain operator and maintainer skills and proficiencies.
G.D9.3.14.10;1999 - tcs.txt;TCS shall record operator and maintainer actions for self-assessment and performance enhancement.
G.D9.3.14.11;1999 - tcs.txt;Operator and maintainer performance shall be measurable using parameters retrievable from the TCS to determine proficiency levels.
G.D32.6.31;2005 - nenios.txt;A Daily Classroom & Center Enrollment Report shall alphabetically list the names of children by classroom and indicate if they are present or absent.
G.D33.2.0.2;2005 - phin.txt;System s supporting OM need a variety of data to support investigations, including data regarding demographics, cases, exposures, investigations, agents, contacts, specimen/sample collection, laboratory tests, travel and conveyance, and restriction monitoring.
G.D33.2.0.3;2005 - phin.txt;Systems supporting OM should support case investigation, maintain detailed and com prehensive linkages, trace contacts, and quarantine and isolation monitoring activities.
G.D33.2.2.1.1;2005 - phin.txt;Systems supporting OM must have the capability to capture demographic data about persons involved in an OM investigation, including:  Subject ID, name, address, date of birth, gender, phone number, race, ethnicity, and country of citizenship.
G.D33.2.2.1.2;2005 - phin.txt;Systems supporting OM must have the capability to capture data about organizations (e.g., a local health department, a university, a professional association) involved in an OM investigation, including: organization name, location, and contact information.
G.D33.2.2.1.3;2005 - phin.txt;Systems supporting OM must have the capability to capture data about locations involved in an OM investigation, including:  name (if applicable), type (e.g., floor, building, room , store), street address, city, state, zip code, country, GPS coordinates, and other specific details (e.g., a specific building on a campus, a business branch location, a local chapter’s meeting hall)
G.D33.2.2.1.7;2005 - phin.txt;Systems supporting OM must have the capability to capture data about any public or private gathering of people (e.g., church social, ball gam e) involved in an OM investigation, including:  time, location, nature of the event, etc.
G.D33.2.2.1.9;2005 - phin.txt;Systems supporting OM must have the capability to capture an entity’s travel history to support investigations of entities infected, exposed or potentially exposed.
G.D33.2.2.3.1.1;2005 - phin.txt;Information about each leg of a trip, as well as the parent information about the trip, should be captured.  For example, if a person who lives in Georgia travels to Seattle and becomes exposed to monkey pox, then visits a friend in Santa Fe, travel history and conveyance data should be noted accordingly for each place the exposed person traveled.
G.D33.2.2.3.3;2005 - phin.txt;Detailed conveyance data must be collected when relevant to the investigation, including the carrier identifier,  the type of conveyance (such as airplane, bus, or train, among countless others), as well as the make, model, year, and identification number (e.g., VIN) of each vehicle with which the entity was in  contact (if this information is relevant to the investigation).
G.D33.2.2.4.0;2005 - phin.txt;Case Investigation and Exposure Contact Data Case and exposure data provide more detailed information beyond demographic data. Cases can be persons or animals, and exposure contacts can be persons, animals, other organisms, or exposure settings , such as travel conveyance, location, organization, object, or event.
G.D33.2.2.4.2.3;2005 - phin.txt;Epidemiological (epi) data must be collected  to assist in the case investigation of events.  Standard epi data to be collected includes: onset date and time of symptoms, type of symptoms, risk factors, medical history data, laboratory data, procedure data, and questionnaire responses.
G.D33.2.2.4.2.5;2005 - phin.txt;In the context of a case, all entities exposed to a case must be recorded and linked to the case.
G.D33.2.2.4.2.6;2005 - phin.txt;Demographic information should be collected about the investigator, including their name, address, and contact information, so that the investigator may be contacted to answer questions or to provide additional information.
G.D33.2.2.4.3.2;2005 - phin.txt;Detailed data must be collected about the source of exposure as well as the exposed entity to support contact exposure tracing.  Exposure data related to both the  potential source  and the potential spread include the entity’s type, Subject ID, Contact ID, contact’s name and address, exposure dates and times, health  status, and priority code.
G.D33.2.2.4.3.3;2005 - phin.txt;Epi data must be collected to assist in the exposure investigation of  health events. Standard epi data to be collected for exposure investigation parallels the data to be collected for case investigation and includes: onset date and time of symptoms, type of symptoms, risk factors, laboratory data, procedure data, and questionnaire responses.
G.D33.2.2.4.3.4;2005 - phin.txt;Systems supporting OM must support capturing dynamic, event-specific data that describes contact between two subjects.
G.D33.2.2.5.1;2005 - phin.txt;Systems supporting OM should support the monitoring and follow-up activities required when tracking the  status of cases and exposed individuals.
G.D33.2.2.5.1.1;2005 - phin.txt;Monitoring data should be collected about cases and exposed individuals who are isolated or quarantined because of a health event.
G.D33.2.2.5.1.2;2005 - phin.txt;Follow-up data should be collected from  subjects or their proxies to track symptoms and compliance with  recommended treatment plans or prophylaxis.
G.D33.2.2.6.5;2005 - phin.txt;Chain of custody information for forensic and select agent samples must be captured, including the person who collected the sample, the location of collection, all people who came into contact with the sample during the preparation for shipment to the laboratory, and the acceptance of the package by the shipper.
G.D33.2.2.7.2;2005 - phin.txt;Contraindication information should  be collected  to indicate why vaccinations, treatments, or antidotes  may not have been administered or why the patient may not have complied with prescribed interventions.
G.D33.2.2.8.1;2005 - phin.txt;If an affected person suffers a negative reaction to a vaccine or prophylaxis that was administered, adverse event data may be collected and used to determine the need for additional interventions or to determine if there is a problem with the pharmaceutical, batch, or the administering  facility or person. For specific data requirements regarding adverse event data, please reference PHIN Preparedness Countermeasure/Response Administration Functional Requirements and Process Flows, available at www.cdc.gov/phin.
G.D33.2.2.9.1;2005 - phin.txt;Systems supporting OM should capture information such as the date and time of an activity, activity type, who initiated the activity, and contact information to generate activity logs for management purposes.
G.D33.2.2.9.2;2005 - phin.txt;Activity logs, which are tools for investigators to track their actions during a case, should be supported. For example, investigators may log calls made to monitor symptoms or calls made to schedule follow-up visits.
G.D33.2.3.2.4;2005 - phin.txt;Systems supporting OM require the ability to capture information about possible cases and potential contacts from the identification process through the treatment and follow-up process, as supported by linkages among entities, events, and actions.
G.D33.2.3.3.2;2005 - phin.txt;Contacts of exposed entities (e.g., people, animals, places) may be traced,  investigated, and monitored.
53;worldvista;The system shall provide a method for identifying who is AUTHORIZED to do something (for example, sign and order).
101;worldvista;The system shall audit sensitive records, enabling a site to follow up on a record accessed by a remote location.
114;worldvista;The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc.
115;worldvista;The system shall provide background checks on duplicate orders, drug-drug interactions, and many other criteria that a user can choose.
123;worldvista;The system shall support the Ambulatory Care Date Capture project for capturing encounter data for workload credit, as well as capturing clinically relevant data for reminders and reports.
126;worldvista;The system shall include a report construction feature so each site can individually run related to patient data including: Health Summary, Vitals Cumulative, Nutritional Assessment, Daily Order Summary and Order Summary for a Date Range reports.
128;worldvista;"The system shall have the capability to capture and store risk, social and medical factors; including, but not limited to the following: Tobacco use and history including number of years and packs per day (PPD), Alcohol use history, Drug use history, Occupational environment, Marital status, Occupation, Religious preference, Ethnicity, Healthcare surrogate with alert, Guardian/legal representative with alert."
137;worldvista;The system shall include non-Standard Laboratory and Medication orderable files.
G.D77.3.2.1.3;2021 - ConnectedVehiclePilotNYC.txt;The Vehicle Performance Monitoring application shall collect/log vehicle operational data (e.g. hard break, steering turns, accelerations based on accelerometers).
G.D77.3.2.2.10;2021 - ConnectedVehiclePilotNYC.txt;The ASD shall have the capability of operating in active mode and recording normal driver behaviors and reactions while notifying the user of the perceived warnings.
G.D77.3.2.3.9;2021 - ConnectedVehiclePilotNYC.txt;The ASD shall continuously monitor the location of the host vehicle as described in SAE J2945/1.
G.D77.3.2.5.12;2021 - ConnectedVehiclePilotNYC.txt;The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the driver actions in response to warnings and vehicle trajectories.
G.D77.3.8.3.7.1;2021 - ConnectedVehiclePilotNYC.txt;A PEDINXWALK alert shall be displayed if a pedestrian has been detected in a crosswalk that intersects the Transit Vehicle’s planned forward, left or right turn route at the intersection.
G.D77.3.8.3.7.2;2021 - ConnectedVehiclePilotNYC.txt;The Pedestrian Detector shall send a pedestrian detected si gnal when a pedestrian is present in the crosswalk it monitors.
G.D77.3.8.3.7.4;2021 - ConnectedVehiclePilotNYC.txt;The PEDINXWALK System Latency for pedestrian detection shall be no more than 2 seconds from detecting pedestrian to alert.
G.D77.3.8.4.1.1;2021 - ConnectedVehiclePilotNYC.txt;The PED-SIG application shall correctly discern the pedestrian's position and intended crossing direction.
G.D77.3.8.4.1.5;2021 - ConnectedVehiclePilotNYC.txt;The PED -SIG application shall use the intersection geometry information to determine the pedestrian's orientation.
G.D77.3.8.4.1.7;2021 - ConnectedVehiclePilotNYC.txt;The PED -SIG Applicati on shall determine the intended crossing time from the intersection geographic information (distance) and the expected pedestrian travel rate (configurable).
G.D77.3.8.4.1.19;2021 - ConnectedVehiclePilotNYC.txt;The Application shall calculate intersection crossing information based on pedestrian’s origin, destination, departure range, arrival range. (Note: this is for coordination of signal timing phase.)
G.D81.3.1;automated-insulin-pump.txt;The dose of insulin to be delivered shall be computed by measuring the current level of blood sugar, comparing this to a previous measured level and computing the required dose as described in 3.3 below.
G.D81.3.2;automated-insulin-pump.txt;The system shall measure the level of blood sugar and deliver insulin if required every 10 minutes.
G.D82.6.1.4;EHR System FuncReq - LA DHS.txt;The system has capability to identify the current physical location of any patient during their stay.
G.D82.6.1.12;EHR System FuncReq - LA DHS.txt;The system has capability to have voice recognition.
G.D82.6.1.16;EHR System FuncReq - LA DHS.txt;The system has capability to capture the user's information, both internal and external, who created and/or edited the record.
G.D82.6.1.19;EHR System FuncReq - LA DHS.txt;The system has capability to automatically populate demographic fields.
G.D82.6.1.21;EHR System FuncReq - LA DHS.txt;The system has capability to manage, track and report user access to a specific patient's data.
G.D82.6.1.41;EHR System FuncReq - LA DHS.txt;The system has capability for tracking patient ID changes and merges.
G.D82.6.2.87;EHR System FuncReq - LA DHS.txt;"The system supports historical patient lookup functionality such as  viewing a patient‘s locations (e.g., where they have been transferred to and from; view of all patients who have historically been in a given location during a time period)."
G.D82.6.4.135;EHR System FuncReq - LA DHS.txt;The system has the capability to present to a user condition specific care plans or guidelines based on vital signs outside of a specific range.
G.D82.6.4.159;EHR System FuncReq - LA DHS.txt;The system has the capability to track active and inactive patient problems.
G.D82.6.4.167;EHR System FuncReq - LA DHS.txt;The system has the capability to flag the nurse for missing or late documentation.
G.D82.6.5.224;EHR System FuncReq - LA DHS.txt;The system has the capability to automatically notify caregivers if critical value is detected and document who acknowledged the receipt of notification, as well as the date/time.
G.D82.6.6.278;EHR System FuncReq - LA DHS.txt;The system has the capability to track and report number of consultations requested and number performed per physician.
G.D82.6.6.281;EHR System FuncReq - LA DHS.txt;The system has the capability to provide system-wide quality reporting and physician specific performance feedback.
G.D82.6.6.284;EHR System FuncReq - LA DHS.txt;The system has the ability to flag or identify patients that meet criteria for clinical studies.
G.D82.6.9.427;EHR System FuncReq - LA DHS.txt;The system has the ability to track turnaround times for a defined group of physicians.
G.D82.6.12.504;EHR System FuncReq - LA DHS.txt;The system has the ability for the ICU component to acquire data from physiologic monitors.
G.D82.6.12.505;EHR System FuncReq - LA DHS.txt;The system has the ability for the ICU component to acquire data from bedside monitors.
G.D82.6.12.511;EHR System FuncReq - LA DHS.txt;The system has the ability to support graphing and trending of patient information such as vital signs.
