ID;Set;Human Monitoring Requirement;dsl_code;definability;issues;notes
462;qure;To monitor the temperature of the vehicle inlet close to the DC pins, a second temperature sensor (type PT1000) is integrated into the vehicle inlet.;"requirement REQ_011_ID_X_462
  system shall monitor temperature of appropriate_sensors
  stakeholders appropriate_sensors, vehicle_inlet, second_temperature_sensor, vehicle
  linked_to ""462""";yes;;Direct fit to the supported stakeholder/requirement constructs.
469;qure;A pedestrian shall be considered close to the crosswalk when his projected movement will bring him into the pedestrian warning area (TSA5_Func-319) at the time of the EV reaching the crosswalk.;"requirement REQ_012_ID_X_469
  where condition_from_source_12
  system shall warn pedestrian
  stakeholders pedestrian
  linked_to ""469""";yes;;Direct fit to the supported stakeholder/requirement constructs.
497;qure;The system shall not issue crosswalk warnings if the only objects close to the crosswalk are cyclists driving parallel to the vehicle's direction of travel.;"requirement REQ_013_ID_X_497
  where condition_from_source_13
  system shall limit crosswalk_warnings of cyclist
  stakeholders cyclist, vehicle, trip
  linked_to ""497""";yes;;Direct fit to the supported stakeholder/requirement constructs.
498;qure;The vehicle function crosswalk alert is intented to warn the driver when he is approaching a crosswalk and a pedestrian is detected close to the crosswalk.;"requirement REQ_014_ID_X_498
  where condition_from_source_14
  system shall warn driver
  stakeholders driver, pedestrian, vehicle
  linked_to ""498""";yes;;Direct fit to the supported stakeholder/requirement constructs.
499;qure;Therefore the system provides a close view on the area in front of the car.;"requirement REQ_015_ID_X_499
  system shall inform vehicle using display
  stakeholders vehicle
  linked_to ""499""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
500;qure;The ultrasonic sensors support the Object Detection (OD) of the SVS and allows to display discrete distance information of close objects.;"requirement REQ_016_ID_X_500
  system shall inform ultrasonic_sensors using display
  stakeholders appropriate_sensors, ultrasonic_sensors
  linked_to ""500""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
501;qure;The Top View Front Zoom assists the driver to maneuver the vehicle close to obstacles in front of the vehicle.;"requirement REQ_017_ID_X_501
  system shall inform driver using display
  stakeholders driver, vehicle, om_system
  linked_to ""501""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
892;qure;The probability threshold for an azimuthal side lobe detection may be higher than for the determination of the signal DTR_Obj_X_LongFusion_Qual / DTR_Obj_X_LongFunc_Qual to enable a pedestrian detection in connection with camera fusion at an early stage.;"requirement REQ_018_ID_X_892
  system shall detect threshold_status of threshold_calculator
  stakeholders threshold_calculator, pedestrian, camera_fusion
  linked_to ""892""";yes;;Direct fit to the supported stakeholder/requirement constructs.
915;qure;The signal has to signalize (signal state 0 equal NACPT) that an object does not fulfill the requirements for a pedestrian (incl. pedestrian dummies, pedestrians with sports equipment or other equipment) independently of their moving state (moving, stationary) for a fast functional reaction exclusively after a fusion with a camera, i.;;no;No supported Value-DSL requirement action could be identified without inventing semantics.;Kept as comment only.
922;qure;The standard Brake-Assistant is a system which brakes more than the driver, if the driver touches the brake pedal fast but not deep enough.;;no;No supported Value-DSL requirement action could be identified without inventing semantics.;Kept as comment only.
1050;qure;The long range radar shall support the function by the detection of PD ahead of the system vehicle and by providing necessary information like position (x, y), velocity (vx, vy) and quality measures.;"requirement REQ_021_ID_X_1050
  system shall inform long_range_radar
  stakeholders vehicle, long_range_radar
  linked_to ""1050""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
1178;qure;As long as the belt buckle status cannot be recorded, the message `` Signal Not Available '' is present on the CAN.;"requirement REQ_022_ID_X_1178
  system shall inform can_bus
  stakeholders can_bus
  linked_to ""1178""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
1430;qure;The component detects several new unfiltered raw targets in every system cycle.;"requirement REQ_023_ID_X_1430
  system shall detect targets of component
  stakeholders component, om_system
  linked_to ""1430""";yes;;Direct fit to the supported stakeholder/requirement constructs.
1431;qure;The component has to detect and calculate several additional objects on side tracks and in front of the preceding vehicle.;"requirement REQ_024_ID_X_1431
  system shall track objects of vehicle
  stakeholders vehicle, component, om_system
  linked_to ""1431""";partially;Unsupported analysis/capability verb was approximated with the nearest supported monitoring verb. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
1876;qure;Information: If the engine is in the state `` automatic stop '' and the absence of the driver is detected, then a level 1 restart must be requested as soon as possible.;"requirement REQ_025_ID_X_1876
  if engine_controller engine_condition_requires_action
  system shall inform driver
  stakeholders driver, engine_controller, om_system
  linked_to ""1876""";partially;Quantitative/timing/capacity constraints are not first-class in Value-DSL and were preserved only implicitly.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.0.5;1999 - tcs.txt;The operational capabilities to be performed by the system will be determined by task analysis in accordance with MIL STD 1388 Task 401 as a guide based on a thorough understanding of Outrider and Predator mission requirements. Tasks will be evaluated and allocated based on operator skills and proficiencies. The initial TCS task analysis will produce a system baseline which will be optimized by engineering analysis and operator evaluations.;;no;Statement is a process/background/inventory requirement rather than a stakeholder-centered requirement definition supported by Value-DSL.;Kept as comment only in the DSL file.
G.D9.3.1.1.0.8;1999 - tcs.txt;The TCS shall inform the operator if the operator attempts to execute a function prohibited as a result of the determined level of interaction.;"requirement REQ_027_ID_G_D9_3_1_1_0_8
  where condition_from_source_27
  system shall inform operator
  stakeholders tcs, operator
  linked_to ""G.D9.3.1.1.0.8""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.1.1.2.0.3;1999 - tcs.txt;The TCS shall be capable of automatically recording system state data, interface communications and other information necessary to support event reconstruction.;"requirement REQ_028_ID_G_D9_3_1_1_2_0_3
  system shall inform om_system
  stakeholders tcs, om_system
  linked_to ""G.D9.3.1.1.2.0.3""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.2.1.1.0.5;1999 - tcs.txt;The TCS flight route planner shall include, as a minimum, the following flight planning tools: 1. Weight and balance take off data calculations. 2. Fuel Calculations. 3. Terrain avoidance warning for line of sight flights. 4. Minimum data link reception altitude calculations for line of sight flights. 5. Payload search area information such as: visual acuity range due to atmospheric conditions, diurnal transition periods for thermal imagery, and lunar and solar terrain shadowing. 6. Ability to designate flight corridors and restricted air space.;;no;"Compound feature inventory with many sub-capabilities; no single valid Value-DSL stakeholder/action definition without splitting and inventing semantics.";Kept as comment only.
G.D9.3.2.1.1.1.0.2;1999 - tcs.txt;A de-clutter capability shall be provided that allows the operator to display only a selected number of the most significant threats.;"requirement REQ_030_ID_G_D9_3_2_1_1_1_0_2
  system shall inform operator using display
  stakeholders can_bus, tcs, operator
  linked_to ""G.D9.3.2.1.1.1.0.2""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.2.2.1.5.0.1;1999 - tcs.txt;TCS shall provide the capability to monitor specific telemetry elements real-time, and record all telemetry elements for future review and processing.;"requirement REQ_031_ID_G_D9_3_2_2_1_5_0_1
  system shall inform telemetry_system using display
  stakeholders tcs, telemetry_system
  linked_to ""G.D9.3.2.2.1.5.0.1""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited. Quantitative/timing/capacity constraints are not first-class in Value-DSL and were preserved only implicitly. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.2.2.2.2.1.1;1999 - tcs.txt;The TCS shall display the current search footprint and the search history of the payload on the map.;"requirement REQ_032_ID_G_D9_3_2_2_2_2_1_1
  system shall inform payload using display
  stakeholders tcs, payload
  linked_to ""G.D9.3.2.2.2.2.1.1""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.2.2.3.0.2;1999 - tcs.txt;The TCS shall provide the system functionality necessary to record data obtained via the data link.;"requirement REQ_033_ID_G_D9_3_2_2_3_0_2
  system shall record tcs_functionality_necessary_record of tcs
  stakeholders tcs, data_link
  linked_to ""G.D9.3.2.2.3.0.2""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.2.2.3.1.0.4;1999 - tcs.txt;As a minimum the TCS LOS data terminal control modes shall include acquisition, autotrack, search, manual point, omni directional, as well as directional modes of operation, if applicable to the selected data link.;;no;Statement is a process/background/inventory requirement rather than a stakeholder-centered requirement definition supported by Value-DSL.;Kept as comment only in the DSL file.
G.D9.3.2.3.1.1;1999 - tcs.txt;"The TCS shall have the functionality to process payload product data from Electro Optical (EO), Infrared (IR), and Synthetic Aperture Radar (SAR) payloads. This functionality, as a minimum, shall include:  formatting, storing, internally routing, and recording the video; creating and storing a freeze frame of the video; retrieving and displaying the video; printing a hard copy of freeze frame video; and processing digital imagery for export and dissemination. Payload data includes the digital and analog imagery and associated telemetry sent to the TCS from each of these payloads.";"requirement REQ_035_ID_G_D9_3_2_3_1_1
  system shall inform om_system using display
  stakeholders long_range_radar, tcs, payload, telemetry_system, om_system
  linked_to ""G.D9.3.2.3.1.1""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited. Quantitative/timing/capacity constraints are not first-class in Value-DSL and were preserved only implicitly. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.2.3.1.2;1999 - tcs.txt;The TCS shall be able to store up to 24 hours of payload data. External storage can be utilized for this purpose.;"requirement REQ_036_ID_G_D9_3_2_3_1_2
  system shall store tcs_able_store_up of can_bus
  stakeholders can_bus, tcs, payload
  linked_to ""G.D9.3.2.3.1.2""";partially;Quantitative/timing/capacity constraints are not first-class in Value-DSL and were preserved only implicitly.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.2.3.2.1;1999 - tcs.txt;The TCS shall display live and recorded imagery data, with as well as without annotation and overlay, upon operator request. Annotation includes operator generated comments as well as graphics which are superimposed on the imagery. Overlays consist of information obtained from external sources that is selected by the operator for presentation with the imagery.;"requirement REQ_037_ID_G_D9_3_2_3_2_1
  system shall inform operator using display
  stakeholders tcs, operator, om_system
  linked_to ""G.D9.3.2.3.2.1""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.2.3.2.5;1999 - tcs.txt;RS170A video and digital imagery shall be routed to TCS functions and displayed upon operator request.;"requirement REQ_038_ID_G_D9_3_2_3_2_5
  system shall inform operator using display
  stakeholders tcs, operator
  linked_to ""G.D9.3.2.3.2.5""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.2.3.3.2;1999 - tcs.txt;The TCS shall provide the capability to capture frozen-frames of imagery and store these frozen images for further review and processing.;"requirement REQ_039_ID_G_D9_3_2_3_3_2
  system shall inform tcs using display
  stakeholders tcs
  linked_to ""G.D9.3.2.3.3.2""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.2.3.3.3;1999 - tcs.txt;The TCS shall have the capability to display Near-Real Time (NRT) imagery  to include, as a minimum, date/time group, target location coordinates when the target is in the center of the field of view, north seeking arrow, and AV position and heading.;"requirement REQ_040_ID_G_D9_3_2_3_3_3
  where condition_from_source_40
  system shall inform location using display
  stakeholders vehicle, tcs, location
  linked_to ""G.D9.3.2.3.3.3""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited. Quantitative/timing/capacity constraints are not first-class in Value-DSL and were preserved only implicitly. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.2.4.0.2;1999 - tcs.txt;The TCS shall support a target location function where the operator can request the current ground location of the payload field-of-view center.;"requirement REQ_041_ID_G_D9_3_2_4_0_2
  system shall inform operator using display
  stakeholders can_bus, tcs, operator, payload, location
  linked_to ""G.D9.3.2.4.0.2""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.2.4.1.1;1999 - tcs.txt;The TCS shall have the functionality to determine the location of items of interest within the payload field of view, and express these locations in coordinates acceptable for military applications.;"requirement REQ_042_ID_G_D9_3_2_4_1_1
  system shall inform location using display
  stakeholders tcs, payload, location
  linked_to ""G.D9.3.2.4.1.1""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.10.1.0.1;1999 - tcs.txt;"The TCS hardware will provide the functionality and capability to receive, process, and disseminate video and telemetry data from the AV and payload; perform mission planning; monitor and control the payload; monitor and control the AV;  and monitor and control the data links.";"requirement REQ_043_ID_G_D9_3_10_1_0_1
  system shall capture telemetry_elements of vehicle
  stakeholders vehicle, tcs, payload, data_link, telemetry_system, om_system
  linked_to ""G.D9.3.10.1.0.1""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.10.3.0.1;1999 - tcs.txt;"The TCS software will provide the functionality and capability to receive, process, and disseminate video and telemetry data from the AV and payload; perform mission planning; monitor and control the payload; monitor and control the AV; and monitor and control the data links.";"requirement REQ_044_ID_G_D9_3_10_3_0_1
  system shall capture telemetry_elements of software
  stakeholders software, vehicle, tcs, payload, data_link, telemetry_system, om_system
  linked_to ""G.D9.3.10.3.0.1""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.13.1.9;1999 - tcs.txt;A combination of visual and auditory outputs will be provided to alert the TCS operator to situations which may require operator response.;"requirement REQ_045_ID_G_D9_3_13_1_9
  system shall warn operator
  stakeholders tcs, operator, om_system
  linked_to ""G.D9.3.13.1.9""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.13.1.12;1999 - tcs.txt;All TCS warning messages and HCI actions shall be archived for later review.;"requirement REQ_046_ID_G_D9_3_13_1_12
  system shall warn hci using display
  stakeholders tcs, hci
  linked_to ""G.D9.3.13.1.12""";yes;;Direct fit to the supported stakeholder/requirement constructs.
G.D9.3.13.1.13;1999 - tcs.txt;All TCS operator inputs shall be error checked such that any erroneous operator entry will not cause current processing to terminate. The HCI shall prompt the operator for a valid input.;"requirement REQ_047_ID_G_D9_3_13_1_13
  system shall inform operator
  stakeholders tcs, operator, hci, om_system
  linked_to ""G.D9.3.13.1.13""";yes;;Direct fit to the supported stakeholder/requirement constructs.
G.D9.3.13.1.15;1999 - tcs.txt;The operational tasks to be performed concurrently by the operator during normal operation will be determined by appropriate task analysis and function allocation.;;no;Statement is a process/background/inventory requirement rather than a stakeholder-centered requirement definition supported by Value-DSL.;Kept as comment only in the DSL file.
G.D9.3.13.1.29;1999 - tcs.txt;The TCS shall provide the necessary processing, display, and control capabilities to ensure dynamic situational awareness input to the TCS operator.;"requirement REQ_049_ID_G_D9_3_13_1_29
  system shall inform operator using display
  stakeholders tcs, operator
  linked_to ""G.D9.3.13.1.29""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.14.9;1999 - tcs.txt;Training shall be adequate to maintain operator and maintainer skills and proficiencies.;;no;Statement is a process/background/inventory requirement rather than a stakeholder-centered requirement definition supported by Value-DSL.;Kept as comment only in the DSL file.
G.D9.3.14.10;1999 - tcs.txt;TCS shall record operator and maintainer actions for self-assessment and performance enhancement.;"requirement REQ_051_ID_G_D9_3_14_10
  system shall record operator_maintainer_actions of tcs
  stakeholders tcs, operator, maintainer
  linked_to ""G.D9.3.14.10""";partially;Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D9.3.14.11;1999 - tcs.txt;Operator and maintainer performance shall be measurable using parameters retrievable from the TCS to determine proficiency levels.;"requirement REQ_052_ID_G_D9_3_14_11
  system shall detect performance_parameters of tcs
  stakeholders tcs, operator, maintainer, om_system
  linked_to ""G.D9.3.14.11""";partially;Unsupported analysis/capability verb was approximated with the nearest supported monitoring verb.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D32.6.31;2005 - nenios.txt;A Daily Classroom & Center Enrollment Report shall alphabetically list the names of children by classroom and indicate if they are present or absent.;"requirement REQ_053_ID_G_D32_6_31
  where condition_from_source_53
  system shall inform om_system
  stakeholders classroom_manager, om_system
  linked_to ""G.D32.6.31""";partially;Display/provide/present/list capability was approximated as an inform action because Value-DSL notification verbs are limited. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.0.2;2005 - phin.txt;System s supporting OM need a variety of data to support investigations, including data regarding demographics, cases, exposures, investigations, agents, contacts, specimen/sample collection, laboratory tests, travel and conveyance, and restriction monitoring.;"requirement REQ_054_ID_G_D33_2_0_2
  system shall collect demographic_data of om_system
  stakeholders om_system, person, trip, conveyance, sample
  linked_to ""G.D33.2.0.2""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.0.3;2005 - phin.txt;Systems supporting OM should support case investigation, maintain detailed and com prehensive linkages, trace contacts, and quarantine and isolation monitoring activities.;"requirement REQ_055_ID_G_D33_2_0_3
  system shall monitor systems_supporting_om_case of om_system
  stakeholders om_system
  linked_to ""G.D33.2.0.3""";partially;Unsupported analysis/capability verb was approximated with the nearest supported monitoring verb. Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.1.1;2005 - phin.txt;Systems supporting OM must have the capability to capture demographic data about persons involved in an OM investigation, including:  Subject ID, name, address, date of birth, gender, phone number, race, ethnicity, and country of citizenship.;"requirement REQ_056_ID_G_D33_2_2_1_1
  system shall capture demographic_data of om_system
  stakeholders om_system, person
  linked_to ""G.D33.2.2.1.1""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.1.2;2005 - phin.txt;Systems supporting OM must have the capability to capture data about organizations (e.g., a local health department, a university, a professional association) involved in an OM investigation, including: organization name, location, and contact information.;"requirement REQ_057_ID_G_D33_2_2_1_2
  system shall inform location
  stakeholders om_system, organization, location
  linked_to ""G.D33.2.2.1.2""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.1.3;2005 - phin.txt;Systems supporting OM must have the capability to capture data about locations involved in an OM investigation, including:  name (if applicable), type (e.g., floor, building, room , store), street address, city, state, zip code, country, GPS coordinates, and other specific details (e.g., a specific building on a campus, a business branch location, a local chapter’s meeting hall);"requirement REQ_058_ID_G_D33_2_2_1_3
  system shall store location_data of om_system
  stakeholders om_system, location
  linked_to ""G.D33.2.2.1.3""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action. Compound requirement was collapsed to one primary Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.1.7;2005 - phin.txt;Systems supporting OM must have the capability to capture data about any public or private gathering of people (e.g., church social, ball gam e) involved in an OM investigation, including:  time, location, nature of the event, etc.;"requirement REQ_059_ID_G_D33_2_2_1_7
  system shall capture location_data of om_system
  stakeholders om_system, location, public_gathering
  linked_to ""G.D33.2.2.1.7""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.1.9;2005 - phin.txt;Systems supporting OM must have the capability to capture an entity’s travel history to support investigations of entities infected, exposed or potentially exposed.;"requirement REQ_060_ID_G_D33_2_2_1_9
  system shall capture travel_history of om_system
  stakeholders om_system, trip
  linked_to ""G.D33.2.2.1.9""";partially;"Some source semantics use unsupported capability/display/calculation wording; mapped to the nearest Value-DSL action.";"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.3.1.1;2005 - phin.txt;Information about each leg of a trip, as well as the parent information about the trip, should be captured.  For example, if a person who lives in Georgia travels to Seattle and becomes exposed to monkey pox, then visits a friend in Santa Fe, travel history and conveyance data should be noted accordingly for each place the exposed person traveled.;"requirement REQ_061_ID_G_D33_2_2_3_1_1
  where condition_from_source_61
  system shall inform conveyance
  stakeholders om_system, person, trip, conveyance
  linked_to ""G.D33.2.2.3.1.1""";partially;Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.3.3;2005 - phin.txt;Detailed conveyance data must be collected when relevant to the investigation, including the carrier identifier,  the type of conveyance (such as airplane, bus, or train, among countless others), as well as the make, model, year, and identification number (e.g., VIN) of each vehicle with which the entity was in  contact (if this information is relevant to the investigation).;"requirement REQ_062_ID_G_D33_2_2_3_3
  where condition_from_source_62
  system shall inform conveyance
  stakeholders vehicle, om_system, conveyance
  linked_to ""G.D33.2.2.3.3""";partially;Compound requirement was collapsed to one primary Value-DSL action.;"Core stakeholder/action intent represented; secondary details may require separate requirements or unsupported DSL extensions."
G.D33.2.2.4.0;2005 - phin.txt;Case Investigation and Exposure Contact Data Case and exposure data provide more detailed information beyond demographic data. Cases can be persons or animals, and exposure contacts can be persons, animals, other organisms, or exposure settings , such as travel conveyance, location, organization, object, or event.;;no;Statement is a process/background/inventory requirement rather than a stakeholder-centered requirement definition supported by Value-DSL.;Kept as comment only in the DSL file.
